path,is_gameplay,gameplay_score,sampled_frames,hud_frame_ratio,minimap_score,skill_button_score,top_hud_score,edge_density,source_label,video_id,webpage_url,description,view_count,like_count,comment_count
datasets/tiktok/mlbb/bonitoflakesmlbb/7432883319265676552.mp4,True,0.5695242881774902,4,0.5,0.6174747474747475,0.4459548104956268,0.7873684210526316,0.08264322916666667,bonitoflakesmlbb,7432883319265676552,https://www.tiktok.com/@bonitoflakesmlbb/video/7432883319265676552,Trust your Tank 🛡️ Winning set by Tigreal 🥇 #mlbb #mlbbcelbr8 #mlbbcelbr8 #MLBBCr8torParty #mobilelegends #mobilelegendsbangbang #mlbbhighlights #fypviralシ,352,11,0
datasets/tiktok/mlbb/nilunaa/7624768636477066503.mp4,True,0.5691065192222595,4,0.5,0.5983838383838384,0.6767614188532556,0.45210526315789473,0.09218098958333334,nilunaa,7624768636477066503,https://www.tiktok.com/@nilunaa/video/7624768636477066503,Combo 5 orang RRQ TORA -  Dyrennn  #MYtimeMYera #mobilelegends #MPLMYS17 #MLBB #MPLMY,56200,775,9
datasets/tiktok/mlbb/saikyuun_/7317816848660040966.mp4,True,0.5689743757247925,4,0.75,0.24454545454545454,0.7258503401360544,0.3749122807017544,0.10309244791666666,saikyuun-,7317816848660040966,https://www.tiktok.com/@saikyuun_/video/7317816848660040966,Lakas maka twinning ng skin nila Guinevere at Odette 💚💚 #pinaslangmalakas #MLBBM5 #MLBB #bangbangbonusbeat #MobileLegends #phmcbacesleague #phguineverebutterflycorsage #fyp #m5cheer4u,943300,117400,1585
datasets/tiktok/mlbb/mlbbttofficial/7637361263735033105.mp4,True,0.568454384803772,4,0.75,0.4011111111111111,0.48537866039272853,0.6433333333333333,0.06639322916666666,mlbb-official,7637361263735033105,https://www.tiktok.com/@mlbbttofficial/video/7637361263735033105,You claimed the treasure. You chose to leave before deeper dangers arrive. But there's always more than one treasure beneath the sea. The voyage continues. #MLBBALLSTAR #MLBBDreadsea,60900,2579,69
datasets/tiktok/mlbb/mlbbtopcreation/7235132909680643329.mp4,True,0.568128764629364,4,0.75,0.75,0.21067784256559768,0.5682456140350877,0.050835503472222224,mlbb-top-creation,7235132909680643329,https://www.tiktok.com/@mlbbtopcreation/video/7235132909680643329,Lance x Chou Gameplay @misspredat #mobilelegends #mgl #mlbbcreatorcamp,16200,1214,23
datasets/tiktok/mlbb/mobilelegendsmy/7637087393991986439.mp4,True,0.5664811134338379,4,0.75,0.3992929292929293,0.4684933437660779,0.6587719298245613,0.06587999131944444,mobilelegendsmy,7637087393991986439,,,,,
datasets/tiktok/mlbb/shrxking_fear/7633346984761412882.mp4,True,0.5657466650009155,4,0.5,0.41,0.6164174107142857,0.7589473684210526,0.10466579861111111,shrxking-fear,7633346984761412882,https://www.tiktok.com/@shrxking_fear/video/7633346984761412882,#Godblessyouall,660,106,12
datasets/tiktok/mlbb/mlbbesports_official/7599621860275375378.mp4,True,0.565653920173645,4,0.75,0.2180808080808081,0.8125,0.35473684210526313,0.0866970486111111,mlbb-esports,7599621860275375378,https://www.tiktok.com/@mlbbesports_official/video/7599621860275375378,The magic of M7 Carnival still echoed. See you when we see you again? 🥰 #MLBBEsports #MLBBM7 #MobileLegendsBangBang #M7 #M7Carnival,108800,1841,56
datasets/tiktok/mlbb/mlbbttofficial/7618873527176809729.mp4,True,0.565463662147522,4,0.75,0.21929292929292926,0.75,0.2033333333333333,0.134658203125,mlbb-official,7618873527176809729,https://www.tiktok.com/@mlbbttofficial/video/7618873527176809729,🌙 Eid Mubarak! Hanabi wishes everyone a safe and joyous holiday! #MLBBGoldenMonth #MobileLegendsBangBang,156600,8639,256
datasets/tiktok/mlbb/saikyuun_/7350130035816221958.mp4,True,0.5646448731422424,4,0.5,0.4485858585858586,0.7596695821185617,0.5726315789473684,0.08440755208333334,saikyuun-,7350130035816221958,https://www.tiktok.com/@saikyuun_/video/7350130035816221958,How Khufra users flirt to Esmeralda users ❤️ #MLBB #MobileLegends #phmcbacesleague #mlbbtaralaro #mlbballstar #mobilelegends_id #mlbb_indonesia #fyp,938000,141300,1058
